query,entrezgene,name,symbol,alias,taxid,RGD
ADCY7,84420,adenylate cyclase 7,Adcy7,,10116,RGD:619966
ADCY8,29241,adenylate cyclase 8,Adcy8,Ac8,10116,RGD:2036
ADCYAP1,24166,adenylate cyclase activating polypeptide 1,Adcyap1,Pacap,10116,RGD:2037
ADCYAP1R1,24167,ADCYAP receptor type I,Adcyap1r1,"PAC1-R, PACAP-R1, PACAP-R1A, PACAPR1, PACAPR1A",10116,RGD:2038
ELTD1,64124,adhesion G protein-coupled receptor L4,Adgrl4,"Eltd1, Etl",10116,RGD:621136
ADH1A,24172,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Adh1,"Adh, Adh1a, Adh1c",10116,RGD:2044
ADH1C,24172,"alcohol dehydrogenase 1C (class I), gamma polypeptide",Adh1,"Adh, Adh1a, Adh1c",10116,RGD:2044
ADH4,29646,"alcohol dehydrogenase 4 (class II), pi polypeptide",Adh4,"ADH-1, Ac1002",10116,RGD:71028
ADH5,100145871,"alcohol dehydrogenase 5 (class III), chi polypeptide",Adh5,,10116,RGD:2292706
ADH6,310903,alcohol dehydrogenase 6 (class V),Adh6,,10116,RGD:1306313
ADH7,171178,"alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide",Adh7,,10116,RGD:621638
ADK,25368,adenosine kinase,Adk,AK,10116,RGD:2046
ADM,25026,adrenomedullin,Adm,"Ap, H39316, RATAP",10116,RGD:2047
ADNP,64622,activity-dependent neuroprotector homeobox,Adnp,,10116,RGD:71030
ADNP2,307236,ADNP homeobox 2,Adnp2,RGD1308279,10116,RGD:1308279
ADORA1,29290,adenosine A1 receptor,Adora1,,10116,RGD:2048
ADORA2A,25369,adenosine A2a receptor,Adora2a,"A2ar, ADENO, Adora2l1",10116,RGD:2049
ADRA1A,29412,adrenoceptor alpha 1A,Adra1a,Adra1c,10116,RGD:2055
ADRA1B,24173,adrenoceptor alpha 1B,Adra1b,,10116,RGD:2054
ADRA2A,25083,adrenoceptor alpha 2A,Adra2a,"CA2-47, RATRG20, RG20",10116,RGD:2056
ADRA2C,24175,adrenoceptor alpha 2C,Adra2c,,10116,RGD:2058
ADRB1,24925,adrenoceptor beta 1,Adrb1,"B1AR, RATB1AR",10116,RGD:2059
ADRB2,24176,adrenoceptor beta 2,Adrb2,,10116,RGD:2060
ADRB3,25645,adrenoceptor beta 3,Adrb3,ADRB,10116,RGD:2061
ADSS,289276,adenylosuccinate synthase,Adss,Adss2,10116,RGD:1310508
LACE1,502479,AFG1 like ATPase,Afg1l,Lace1,10116,RGD:1561501
AGA,290923,aspartylglucosaminidase,Aga,,10116,RGD:1309646
AGER,81722,advanced glycosylation end product-specific receptor,Ager,RAGE,10116,RGD:69258
AGO1,313594,argonaute RISC component 1,Ago1,Eif2c1,10116,RGD:1304619
AGO2,59117,argonaute RISC catalytic component 2,Ago2,"Eif2c2, eIF2C 2",10116,RGD:621255
AGT,24792,alanine--glyoxylate aminotransferase,Agxt,"AGT, SPT, Spat",10116,RGD:2073
AGXT2,83784,alanine-glyoxylate aminotransferase 2,Agxt2,AGT2,10116,RGD:621767
AHI1,308923,Abelson helper integration site 1,Ahi1,Ahi-1,10116,RGD:1303040
AKAP10,360540,A-kinase anchoring protein 10,Akap10,D-akap2,10116,RGD:1308869
AKAP5,171026,A-kinase anchoring protein 5,Akap5,"AKAP150, Akap79, P150",10116,RGD:620829
AKAP8,116633,A-kinase anchoring protein 8,Akap8,Akap95,10116,RGD:620832
AKR1A1,78959,aldo-keto reductase family 1 member A1,Akr1a1,Akr1a4,10116,RGD:68346
AKR1C3,171516,"aldo-keto reductase family 1, member C3",Akr1c3,Akr1c18,10116,RGD:708428
AKT1,24185,AKT serine/threonine kinase 1,Akt1,Akt,10116,RGD:2081
AKT2,25233,AKT serine/threonine kinase 2,Akt2,,10116,RGD:2082
ALDH1A1,24188,"aldehyde dehydrogenase 1 family, member A1",Aldh1a1,"Ahd2, Aldh1, Aldh2",10116,RGD:2087
ALDH2,24188,"aldehyde dehydrogenase 1 family, member A1",Aldh1a1,"Ahd2, Aldh1, Aldh2",10116,RGD:2087
ALDH1A2,116676,"aldehyde dehydrogenase 1 family, member A2",Aldh1a2,Raldh-2,10116,RGD:620250
ALDH3A1,25375,"aldehyde dehydrogenase 3 family, member A1",Aldh3a1,"AHDC, Ahd-c, Aldh, Aldh3",10116,RGD:2088
ALDH3B1,309147,"aldehyde dehydrogenase 3 family, member B1",Aldh3b1,,10116,RGD:1359546
ALDH3B2,688800,"aldehyde dehydrogenase 3 family, member B2",Aldh3b2,,10116,RGD:1584166
ALG8,293129,"ALG8, alpha-1,3-glucosyltransferase",Alg8,,10116,RGD:1305468
ALK,266802,ALK receptor tyrosine kinase,Alk,,10116,RGD:628622
ALOX12,81639,arachidonate 15-lipoxygenase,Alox15,"12-LOX, 15-LOX, Alox12, Alox12l",10116,RGD:70493
AMACR,25284,alpha-methylacyl-CoA racemase,Amacr,"Da1-8, Marc1",10116,RGD:3048
AMBRA1,59319,autophagy and beclin 1 regulator 1,Ambra1,Nyw1,10116,RGD:621330
ANAPC1,311412,anaphase promoting complex subunit 1,Anapc1,,10116,RGD:1306629
ANK3,362036,ankyrin 2,Ank2,Ank3,10116,RGD:620156
ANKK1,367080,ankyrin repeat and kinase domain containing 1,Ankk1,,10116,RGD:1305538
ANKRD7,502733,ankyrin repeat domain 7,Ankrd7,RGD1564660,10116,RGD:1564660
ANPEP,81641,"alanyl aminopeptidase, membrane",Anpep,"AP-M, AP-N, Apm, Apn, KZP",10116,RGD:2991
AP2B1,140670,adaptor related protein complex 2 subunit beta 1,Ap2b1,,10116,RGD:71048
AP3M1,171126,adaptor related protein complex 3 subunit mu 1,Ap3m1,P47a,10116,RGD:620417
APAF1,78963,apoptotic peptidase activating factor 1,Apaf1,,10116,RGD:620575
APBA2,83610,amyloid beta precursor protein binding family A member 2,Apba2,Mint2,10116,RGD:620845
APC,24205,APC regulator of WNT signaling pathway,Apc,RATAPC,10116,RGD:2123
APOD,25239,apolipoprotein D,Apod,AOPDGN,10116,RGD:2137
APOE,25728,apolipoprotein E,Apoe,APOEA,10116,RGD:2138
APOH,287774,apolipoprotein H,Apoh,,10116,RGD:1310625
APP,54226,amyloid beta precursor protein,App,Abeta,10116,RGD:2139
APRT,292072,adenine phosphoribosyl transferase,Aprt,,10116,RGD:1307758
AQP4,25293,aquaporin 4,Aqp4,"AQP-4, Miwc, WCH4",10116,RGD:2143
ARHGAP1,311193,Rho GTPase activating protein 1,Arhgap1,,10116,RGD:1306068
ARHGAP18,293947,Rho GTPase activating protein 18,Arhgap18,,10116,RGD:1305053
ARHGAP26,307459,Rho GTPase activating protein 26,Arhgap26,,10116,RGD:1310923
ARHGAP32,315530,Rho GTPase activating protein 32,Arhgap32,"Grit, Rics, p250GAP",10116,RGD:1305267
ARHGEF10,306618,Rho guanine nucleotide exchange factor 10,Arhgef10,RGD1565043,10116,RGD:1565043
ARHGEF11,78966,Rho guanine nucleotide exchange factor 11,Arhgef11,Gtrap48,10116,RGD:619705
ARRB1,25387,"arrestin, beta 1",Arrb1,BARRES,10116,RGD:2156
ARRB2,25388,"arrestin, beta 2",Arrb2,BARRES,10116,RGD:2157
ARSA,315222,arylsulfatase A,Arsa,,10116,RGD:1310381
ARTN,362572,artemin,Artn,,10116,RGD:621427
ARVCF,303798,"ARVCF, delta catenin family member",Arvcf,,10116,RGD:1306655
ASAH1,84431,N-acylsphingosine amidohydrolase 1,Asah1,Asah,10116,RGD:621568
ASMT,246281,acetylserotonin O-methyltransferase,Asmt,,10116,RGD:708472
ASTN1,304900,astrotactin 1,Astn1,,10116,RGD:727799
ASTN2,100361323,astrotactin 2,Astn2,,10116,RGD:2320342
ATF3,25389,activating transcription factor 3,Atf3,"LRF-1, LRFI",10116,RGD:2165
ATF4,79255,activating transcription factor 4,Atf4,,10116,RGD:621863
ATF5,282840,activating transcription factor 5,Atf5,,10116,RGD:628902
ATM,300711,ATM serine/threonine kinase,Atm,,10116,RGD:1593265
ATOH1,500156,atonal bHLH transcription factor 1,Atoh1,RGD1565171,10116,RGD:1565171
ATP1A1,24211,ATPase Na+/K+ transporting subunit alpha 1,Atp1a1,Nkaa1b,10116,RGD:2167
ATP1A2,24212,ATPase Na+/K+ transporting subunit alpha 2,Atp1a2,RATATPA2,10116,RGD:2168
ATP1A3,24213,ATPase Na+/K+ transporting subunit alpha 3,Atp1a3,Atpa1a3,10116,RGD:2169
ATP2A2,29693,ATPase sarcoplasmic/endoplasmic reticulum Ca2+ transporting 2,Atp2a2,"Serca2, SercaII",10116,RGD:2174
ATP7B,24218,ATPase copper transporting beta,Atp7b,"Hts, PINA, Wd",10116,RGD:2180
ATXN1,25049,ataxin 1,Atxn1,Sca1,10116,RGD:3624
ATXN2,288663,ataxin 2,Atxn2,Sca2,10116,RGD:1306637
ATXN3,60331,ataxin 3,Atxn3,"MJD1, Rsca3",10116,RGD:621567
AUTS2,304419,autism susceptibility candidate 2-like 1,Auts2l1,"Auts2, Auts2l",10116,RGD:1309972
AVP,24221,arginine vasopressin,Avp,"ADH, DI, VP, Vas",10116,RGD:2184
AVPR1A,25107,arginine vasopressin receptor 1A,Avpr1a,"AVPR, V1a, V1aR",10116,RGD:2185
AVPR1B,100909648,arginine vasopressin receptor 1B,Avpr1b,,10116,RGD:61886
B2M,24223,beta-2 microglobulin,B2m,,10116,RGD:2189
B3GAT1,117108,"beta-1,3-glucuronyltransferase 1",B3gat1,Hnk-1,10116,RGD:70880
B3GAT2,64544,"beta-1,3-glucuronyltransferase 2",B3gat2,,10116,RGD:620903
B3GNT2,305571,"UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2",B3gnt2,B3gnt1,10116,RGD:1310077
BACE1,29392,beta-secretase 1,Bace1,Bace,10116,RGD:2191
BAG1,297994,BAG cochaperone 1,Bag1,Bag-1,10116,RGD:1305203
BAG3,293524,BAG cochaperone 3,Bag3,,10116,RGD:1307794
BCHE,65036,butyrylcholinesterase,Bche,,10116,RGD:619996
BCL11A,305589,BCL11 transcription factor A,Bcl11a,,10116,RGD:1309923
BCL2,24224,"BCL2, apoptosis regulator",Bcl2,Bcl-2,10116,RGD:2199
BCL9,310704,"BCL9, transcription coactivator",Bcl9,,10116,RGD:1306934
BCR,309696,BCR activator of RhoGEF and GTPase,Bcr,,10116,RGD:1307993
BDKRB2,25245,bradykinin receptor B2,Bdkrb2,"B2BKR, B2BRA",10116,RGD:2201
BDNF,24225,brain-derived neurotrophic factor,Bdnf,,10116,RGD:2202
BECN1,114558,beclin 1,Becn1,Beclin1,10116,RGD:620190
BHLHE40,79431,"basic helix-loop-helix family, member e40",Bhlhe40,"Bhlhb2, Dec1, SHARP-2, Sharp2, Stra13",10116,RGD:68439
BHLHE41,117095,"basic helix-loop-helix family, member e41",Bhlhe41,"Bhlhb3, Dec2, SHARP-1, Sharp1",10116,RGD:70900
BHMT,81508,betaine-homocysteine S-methyltransferase,Bhmt,,10116,RGD:621496
BICC1,361832,BicC family RNA binding protein 1,Bicc1,,10116,RGD:1307459
BID,64625,BH3 interacting domain death agonist,Bid,,10116,RGD:620160
BIK,114496,BCL2-interacting killer,Bik,"Biklk, Blk",10116,RGD:621547
BLOC1S1,288785,"biogenesis of lysosomal organelles complex-1, subunit 1",Bloc1s1,,10116,RGD:1307564
BLOC1S3,680476,"biogenesis of lysosomal organelles complex-1, subunit 3",Bloc1s3,,10116,RGD:1591724
ARNTL,29657,basic helix-loop-helix ARNT like 1,Bmal1,Arntl,10116,RGD:62003
ARNTL2,362464,basic helix-loop-helix ARNT like 2,Bmal2,"Arnt4, Arntl2",10116,RGD:620230
BMP7,85272,bone morphogenetic protein 7,Bmp7,BMP-7,10116,RGD:620743
BRAP,687346,BRCA1 associated protein,Brap,,10116,RGD:1586551
BRCA1,497672,"BRCA1, DNA repair associated",Brca1,BRCA-1,10116,RGD:2218
BRCA2,360254,"BRCA2, DNA repair associated",Brca2,,10116,RGD:2219
BRD1,315210,bromodomain containing 1,Brd1,,10116,RGD:1311855
BSCL2,361722,"BSCL2 lipid droplet biogenesis associated, seipin",Bscl2,,10116,RGD:1308135
BSG,25246,basigin (Ok blood group),Bsg,"5A11, CE9, EMMPRIN, HT7, Ox47R",10116,RGD:2220
BTBD9,294318,BTB domain containing 9,Btbd9,,10116,RGD:1306975
BTC,64022,betacellulin,Btc,,10116,RGD:620275
C1D,289810,C1D nuclear receptor corepressor,C1d,RGD1560600,10116,RGD:1560600
C1QA,298566,complement C1q A chain,C1qa,Adic,10116,RGD:1306716
C1QB,29687,complement C1q B chain,C1qb,Adia,10116,RGD:2229
C1QTNF3,294806,C1q and TNF related 3,C1qtnf3,Adim,10116,RGD:1305010
C4BPA,24235,"complement component 4 binding protein, alpha",C4bpa,C4BP,10116,RGD:2235
C4BPB,24236,"complement component 4 binding protein, beta",C4bpb,C4bp-ps1,10116,RGD:2236
CABIN1,94165,calcineurin binding protein 1,Cabin1,Cain,10116,RGD:620263
CACNA1A,25398,calcium voltage-gated channel subunit alpha1 A,Cacna1a,"BccA1, Cav2.1, rbA-1",10116,RGD:2244
CACNA1B,257648,calcium voltage-gated channel subunit alpha1 B,Cacna1b,BIII,10116,RGD:628852
CACNA1C,24239,calcium voltage-gated channel subunit alpha1 C,Cacna1c,RATIVS302,10116,RGD:2245
CACNA1D,29716,calcium voltage-gated channel subunit alpha1 D,Cacna1d,,10116,RGD:70973
CACNA1F,114493,calcium voltage-gated channel subunit alpha1 F,Cacna1f,,10116,RGD:621535
CACNB2,116600,calcium voltage-gated channel auxiliary subunit beta 2,Cacnb2,Cacnlb2,10116,RGD:67385
CACNG2,84347,calcium voltage-gated channel auxiliary subunit gamma 2,Cacng2,Ipr328,10116,RGD:71095
CACNG5,140726,calcium voltage-gated channel auxiliary subunit gamma 5,Cacng5,,10116,RGD:628805
CACNG8,140729,calcium voltage-gated channel auxiliary subunit gamma 8,Cacng8,,10116,RGD:628808
CADPS2,312166,calcium dependent secretion activator 2,Cadps2,RGD1559440,10116,RGD:1559440
CALB1,83839,calbindin 1,Calb1,CaBP28K,10116,RGD:69340
CALCA,24241,calcitonin-related polypeptide alpha,Calca,"CAL6, CGRP, Cal1, Calc, RATCAL6",10116,RGD:2254
CALM1,24242,calmodulin 1,Calm1,"CaMI, Calm, Cam1",10116,RGD:2257
CALM2,50663,calmodulin 2,Calm2,"CaMII, Cam, Cam2, Camb",10116,RGD:2258
CALR,64202,calreticulin,Calr,,10116,RGD:620288
CALY,192349,calcyon neuron-specific vesicular protein,Caly,"Calcyon, Drd1ip",10116,RGD:621719
CAMK2A,25400,calcium/calmodulin-dependent protein kinase II alpha,Camk2a,"PK2CDD, PKCCD",10116,RGD:2261
CAMK4,25050,calcium/calmodulin-dependent protein kinase IV,Camk4,"Ccdpk, RATCCDPK",10116,RGD:2264
CAMKK2,83506,calcium/calmodulin-dependent protein kinase kinase 2,Camkk2,,10116,RGD:620092
CARS,293638,cysteinyl-tRNA synthetase 1,Cars1,Cars,10116,RGD:1310747
CARTPT,29131,CART prepropeptide,Cartpt,Cart,10116,RGD:2272
CASP3,25402,caspase 3,Casp3,"CPP32-beta, Lice, Yama",10116,RGD:2275
CASP8,64044,caspase 8,Casp8,CASP-8,10116,RGD:620945
CAT,24248,catalase,Cat,"CS1, Cas1, Cat01, Catl, Cs-1",10116,RGD:2279
CAV1,25404,caveolin 1,Cav1,Cav,10116,RGD:2280
CBS,24250,cystathionine beta synthase,Cbs,,10116,RGD:2287
CC2D1A,288908,coiled-coil and C2 domain containing 1A,Cc2d1a,RGD1306108,10116,RGD:1306108
CCDC68,291530,coiled-coil domain containing 68,Ccdc68,RGD1561424,10116,RGD:1561424
CCDC86,293738,coiled-coil domain containing 86,Ccdc86,,10116,RGD:1359280
CCK,25298,cholecystokinin,Cck,,10116,RGD:2288
CCKAR,24889,cholecystokinin A receptor,Cckar,Cck-ar,10116,RGD:2289
CCL2,24770,C-C motif chemokine ligand 2,Ccl2,"MCP-1, Scya2, Sigje",10116,RGD:3645
CCL24,288593,C-C motif chemokine ligand 24,Ccl24,,10116,RGD:1310245
CCNA2,114494,cyclin A2,Ccna2,,10116,RGD:621059
CCND1,58919,cyclin D1,Ccnd1,,10116,RGD:68384
CCND2,64033,cyclin D2,Ccnd2,,10116,RGD:621083
CCR5,117029,C-C motif chemokine receptor 5,Ccr5,"Ckr5, Cmkbr5",10116,RGD:620596
CCR6,308163,C-C motif chemokine receptor 6,Ccr6,,10116,RGD:1308562
CCR7,287673,C-C motif chemokine receptor 7,Ccr7,,10116,RGD:735151
CD14,60350,CD14 molecule,Cd14,,10116,RGD:620588
CD160,502585,CD160 molecule,Cd160,RGD1563598,10116,RGD:1563598
CD163,312701,CD163 molecule,Cd163,ED2,10116,RGD:1310382
CD19,365367,CD19 molecule,Cd19,,10116,RGD:1309086
CD34,305081,CD34 molecule,Cd34,,10116,RGD:1306863
CD36,29184,CD36 molecule,Cd36,"Fat, RGD1562323",10116,RGD:2301
CD48,245962,Cd48 molecule,Cd48,SLAMF2,10116,RGD:620620
CD99,652929,CD99 molecule (Xg blood group),Cd99,,10116,RGD:1594332
CDC25C,307511,cell division cycle 25C,Cdc25c,,10116,RGD:1311875
CDC42,64465,cell division cycle 42,Cdc42,,10116,RGD:71043
CDC42EP3,313838,CDC42 effector protein 3,Cdc42ep3,,10116,RGD:1305858
CDC42SE2,691031,CDC42 small effector 2,Cdc42se2,RGD1563924,10116,RGD:1563924
CDH10,29181,cadherin 10,Cdh10,,10116,RGD:619741
CDH11,84407,cadherin 11,Cdh11,,10116,RGD:619742
CDH12,301887,cadherin 12,Cdh12,RGD1566350,10116,RGD:1566350
CDH13,192248,cadherin 13,Cdh13,"Cdht, T-cadherin, Tcad",10116,RGD:619745
CDH15,361432,cadherin 15,Cdh15,,10116,RGD:1303000
CDH17,117048,cadherin 17,Cdh17,,10116,RGD:619748
CDH18,310174,cadherin 18,Cdh18,,10116,RGD:1305430
CDH5,307618,cadherin 5,Cdh5,,10116,RGD:1307370
CDH7,29162,cadherin 7,Cdh7,Cad7,10116,RGD:1306856
CDH8,84408,cadherin 8,Cdh8,,10116,RGD:69286
CDH9,29163,cadherin 9,Cdh9,,10116,RGD:1308343
CDK16,81741,cyclin-dependent kinase 16,Cdk16,Pctk1,10116,RGD:620584
CDK5,140908,cyclin-dependent kinase 5,Cdk5,,10116,RGD:70514
CDK5R1,116671,cyclin-dependent kinase 5 regulatory subunit 1,Cdk5r1,"Cdk5r, p35",10116,RGD:629472
CDKN1C,246060,cyclin-dependent kinase inhibitor 1C,Cdkn1c,"Kip2, p57, p57KIP2",10116,RGD:727892
CDKN2A,25163,cyclin-dependent kinase inhibitor 2A,Cdkn2a,"Arf, INK4A, MTS1, p16, p16Cdkn2a",10116,RGD:2323
CDNF,361276,cerebral dopamine neurotrophic factor,Cdnf,Armetl1,10116,RGD:1307600
CELSR1,300128,"cadherin, EGF LAG seven-pass G-type receptor 1",Celsr1,,10116,RGD:1560078
CETN1,84592,centrin 1,Cetn1,,10116,RGD:620246
CFTR,24255,CF transmembrane conductance regulator,Cftr,RGD1561193,10116,RGD:2332
CGNL1,315795,cingulin-like 1,Cgnl1,RGD1304623,10116,RGD:1304623
CHAT,290567,choline O-acetyltransferase,Chat,,10116,RGD:1304627
CHEK1,140583,checkpoint kinase 1,Chek1,,10116,RGD:620545
CHGA,24258,chromogranin A,Chga,,10116,RGD:2338
CHGB,24259,chromogranin B,Chgb,,10116,RGD:2339
CHL1,89828,cell adhesion molecule L1-like,Chl1,Call,10116,RGD:620122
CHMP1B,689364,charged multivesicular body protein 1B,Chmp1b,,10116,RGD:1593500
CHRM1,25229,"cholinergic receptor, muscarinic 1",Chrm1,,10116,RGD:2342
CHRM2,81645,"cholinergic receptor, muscarinic 2",Chrm2,Acm2,10116,RGD:620023
CHRM3,24260,"cholinergic receptor, muscarinic 3",Chrm3,,10116,RGD:2343
CHRM4,25111,"cholinergic receptor, muscarinic 4",Chrm4,M4,10116,RGD:2344
CHRM5,53949,"cholinergic receptor, muscarinic 5",Chrm5,,10116,RGD:620027
CHRNA2,170945,cholinergic receptor nicotinic alpha 2 subunit,Chrna2,ACHR,10116,RGD:621533
CHRNA3,25101,cholinergic receptor nicotinic alpha 3 subunit,Chrna3,,10116,RGD:2345
CHRNA4,25590,cholinergic receptor nicotinic alpha 4 subunit,Chrna4,NARAC,10116,RGD:2346
CHRNA5,25102,cholinergic receptor nicotinic alpha 5 subunit,Chrna5,,10116,RGD:2347
CHRNA6,81721,cholinergic receptor nicotinic alpha 6 subunit,Chrna6,,10116,RGD:69281
CHRNA7,25302,cholinergic receptor nicotinic alpha 7 subunit,Chrna7,"BTX, NARAD, nAChRa7",10116,RGD:2348
CHRNB2,54239,cholinergic receptor nicotinic beta 2 subunit,Chrnb2,,10116,RGD:2350
CHRNB3,171131,cholinergic receptor nicotinic beta 3 subunit,Chrnb3,,10116,RGD:621544
CHRNB4,25103,cholinergic receptor nicotinic beta 4 subunit,Chrnb4,,10116,RGD:2351
CKB,24264,creatine kinase B,Ckb,"CPK-B, Ckbb, Ckbr",10116,RGD:2357
CLDN11,84588,claudin 11,Cldn11,,10116,RGD:71081
CLDN5,65131,claudin 5,Cldn5,,10116,RGD:68431
CLEC10A,64195,C-type lectin domain containing 10A,Clec10a,"Mgl, Mgl1, Mgll",10116,RGD:621158
MGLL,64195,C-type lectin domain containing 10A,Clec10a,"Mgl, Mgl1, Mgll",10116,RGD:621158
CLOCK,60447,clock circadian regulator,Clock,,10116,RGD:620271
CLU,24854,clusterin,Clu,"APOJ, CLI, DAG, RATTRPM2B, SGP-2",10116,RGD:3907
TRPM2,24854,clusterin,Clu,"APOJ, CLI, DAG, RATTRPM2B, SGP-2",10116,RGD:3907
CLVS2,361459,clavesin 2,Clvs2,"Clavesin-2, RGD1306801, Rlbp1l2",10116,RGD:1306801
CMKLR1,60669,chemerin chemokine-like receptor 1,Cmklr1,,10116,RGD:69359
CMYA5,688915,cardiomyopathy associated 5,Cmya5,,10116,
CNIH3,361705,cornichon family AMPA receptor auxiliary protein 2,Cnih2,"CNIH-2, Cnih3, RGD1304930",10116,RGD:1304930
CNIH4,289324,cornichon family AMPA receptor auxiliary protein 4,Cnih4,RGD1559740,10116,RGD:1559740
MAGI1,308113,Cnksr family member 3,Cnksr3,"Magi1, Prp4",10116,RGD:1307544
CNNM2,294014,cyclin and CBS domain divalent metal cation transport mediator 2,Cnnm2,,10116,RGD:1308162
CNP,25275,"2',3'-cyclic nucleotide 3' phosphodiesterase",Cnp,"CNPF, CNPI, CNPII, Cnp1",10116,RGD:2368
CNPPD1,316530,cyclin Pas1/PHO80 domain containing 1,Cnppd1,RGD735175,10116,RGD:735175
CNR2,57302,cannabinoid receptor 2,Cnr2,"CB-2, CB2, CB2C, CNR2C",10116,RGD:619713
CNTF,25707,ciliary neurotrophic factor,Cntf,,10116,RGD:2370
CNTN4,116658,contactin 4,Cntn4,"Axcam, Big-2",10116,RGD:621361
CNTN6,27256,contactin 6,Cntn6,NB-3,10116,RGD:62008
CNTNAP2,500105,contactin associated protein 2,Cntnap2,,10116,RGD:1307076
COMT,24267,catechol-O-methyltransferase,Comt,,10116,RGD:2379
COX8A,171335,cytochrome c oxidase subunit 8A,Cox8a,,10116,RGD:620638
CPLX1,64832,complexin 1,Cplx1,,10116,RGD:70944
CPLX2,116657,complexin 2,Cplx2,,10116,RGD:70945
CPO,689717,carboxypeptidase O,Cpo,,10116,RGD:1588771
CREB1,81646,cAMP responsive element binding protein 1,Creb1,Creb,10116,RGD:620218
CREBBP,54244,CREB binding protein,Crebbp,"CBP, RSTS, RTS",10116,RGD:2401
CREM,25620,cAMP responsive element modulator,Crem,Icer,10116,RGD:2402
CRH,81648,corticotropin releasing hormone,Crh,CRF,10116,RGD:620505
CRHBP,29625,corticotropin releasing hormone binding protein,Crhbp,Crfbp,10116,RGD:2403
CRHR1,58959,corticotropin releasing hormone receptor 1,Crhr1,"CRF-R, CRF-R-1, CRF-R1, CRF1, CRFR-1",10116,RGD:61276
CRHR2,64680,corticotropin releasing hormone receptor 2,Crhr2,"CRF-R 2, CRH-R 2, Crf2r",10116,RGD:70547
CRMP1,25415,collapsin response mediator protein 1,Crmp1,,10116,RGD:2407
CRTC1,684527,CREB regulated transcription coactivator 1,Crtc1,"Mect1, TORC-1, TORC1",10116,RGD:1589158
CRY1,299691,cryptochrome circadian regulator 1,Cry1,,10116,RGD:735083
CRY2,170917,cryptochrome circadian regulator 2,Cry2,,10116,RGD:620935
CRYZ,362061,crystallin zeta,Cryz,,10116,RGD:1311639
CSF2,116630,colony stimulating factor 2,Csf2,"Gm-csf, Gmcsf",10116,RGD:621065
CSF2RA,652957,colony stimulating factor 2 receptor subunit alpha,Csf2ra,,10116,RGD:1594330
CSF2RB,171081,colony stimulating factor 2 receptor subunit beta,Csf2rb,Csf2rb1,10116,RGD:620189
CSMD1,364634,CUB and Sushi multiple domains 1,Csmd1,Mdcr1,10116,RGD:1305103
CSMD2,313040,CUB and Sushi multiple domains 2,Csmd2,RGD1565728,10116,RGD:1565728
