Gene names	Transcript names
	NR_031937
LOC292543	NM_001025639
Vom2r27	NM_173130
Vom2r12	NM_001099488
Vom2r13	NM_001099489
Vom2r17	NM_001099491
Vom2r19	NM_001099492
Mzf1	NM_001108470
Ube2m	NM_001108471
Chmp2a	NM_001108906
Trim28	NM_053916
Zbtb45	NM_001107478
Slc27a5	NM_024143
Rnf225	NM_001109334
Rps5	NM_001277243
Rps5	NM_001277244
Zfp110	NM_001024775
Zfp329	NM_001107477
Vom2r36	NM_001099483
Vom2r33	NM_001099497
Vom2r35	NM_001099473
Vom2r34	NM_001099657
	NR_036047
	NR_036045
Vom1r54	NM_001008963
Vom1r53	NM_001008934
Vom1r53	NM_001008934_1
Vom1r56	NM_001008929
Vom1r57	NM_001008951
Vom1r52	NM_001008930
Vom1r51	NM_001008933
Vom1r48	NM_001008931
Vom1r49	NM_001008920
Vom1r47	NM_001008916
Vom1r46	NM_001008939
Vom1r45	NM_001008940
Vom1r44	NM_001008902
Vom1r43	NM_001008932
Vom1r42	NM_001008959
Sbk1	NM_147135
Vom1r40	NM_001008904
Vom1r41	NM_001008909
Vom2r32	NM_173315
Vom2r78	NM_001099659
Vom1r40	NM_001008904_1
Vom1r28	NM_001008966_1
Vom1r29	NM_001008946_1
Vom1r109	NM_001009509_1
Vom1r27	NM_001008952
Vom1r63	NM_001008967
Nlrp4a	NM_001106220
Vom2r28	NM_001099472
Zfp418	NM_001191620
Zfp978	NM_001025677
Hiat1	NM_001106467_1
Zfp772	NM_001107472
Aurkc	NM_001308536
Usp29	NM_001108465
	NR_106681
Peg3	NM_001304816
	NR_130955
Zim1	NM_001107473
Olr3	NM_001000110
Olr4	NM_001000111
Olr5	NM_001000112
Olr6	NM_001000539
Olr7	NM_001000768
Olr8	NM_001000113
Smim17	NM_001109138
Zfp583	NM_001134609
Zfp667	NM_001008557
Galp	NM_022633
Zfp444	NM_001169143
Zfp787	NM_001108904
Nlrp5	NM_001107474
Vom2r71	NM_001099516
Nlrp4	NM_001172164
Vom1r32	NM_001008937
Nlrp9	NM_001169149
Vom1r34	NM_001008947
Vom1r35	NM_001008919
Vom1r36	NM_001008913
Vom1r37	NM_001008923
Vom1r38	NM_001008964
Rasl2-9	NM_001166675
Rfpl4a	NM_001106222
Epn1	NM_057136
Zfp865	NM_001134544
Zfp524	NM_001108905
Fiz1	NM_001106223
Zfp579	NM_001126276
Sbk2	NM_001127539
Ssc5d	NM_001134545
Nat14	NM_001108466
Isoc2b	NM_001008367
Shisa7	NM_001145175
Ube2s	NM_001106224
Rpl28	NM_022697
Il11	NM_133519
Fam71e2	NM_001145401
Cox6b2	NM_001039085
Suv420h2	NM_001107475
Tmem150b	NM_001107476
Brsk1	NM_001127337
Hspbp1	NM_139261
Ppp6r1	NM_001135849
Tmem86b	NM_001109604
Ptprh	NM_001191945
Syt5	NM_019350
Dnaaf3	NM_001271115
Tnni3	NM_017144
Tnnt1	NM_134388
Tnnt1	NM_001277262
Tnnt1	NM_001277261
Tnnt1	NM_001277260
Ppp1r12c	NM_001191946
Eps8l1	NM_001108467
Rdh13	NM_001108468
Ncr1	NM_057199
Fcar	NM_201992
Kir3dl1	NM_181479
Lilrb4	NM_001013894
Lilra5	NM_001076793
Cdc42ep5	NM_001108469
Leng8	NM_001037790
Ttyh1	NM_001106225
Lair1	NM_001029928
Vom2r29	NM_001099496
Vom2r30	NM_001099467
Vom2r31	NM_173319
Vom1r58	NM_001009507
Vom1r59	NM_001008944
Vom1r60	NM_001167552
Vom1r61	NM_001008935
Vom1r62	NM_001008943
Lig1	NM_001024268
Pla2g4c	NM_001145982
Cabp5	NM_001108907
Sult2a2	NM_001025131
Sult2a6	NM_012695
Sult2a1	NM_131903
Sepw1	NM_013027
Crx	NM_021855
Sepw1	NM_013027_1
Rpl9	NM_001007598
Gltscr2	NM_207591
Ehd2	NM_001024897
Gltscr1	NM_001106226
Napa	NM_080585
Kptn	NM_001107457
Slc8a2	NM_078619
Meis3	NM_001108472
Dhx34	NM_001271452
C5ar2	NM_001003710
C5ar1	NM_053619
Inafm1	NM_001136272
Bbc3	NM_173837
Sae1	NM_001012063
Tmem160	NM_001106227
Npas1	NM_001107479
Arhgap35	NM_001271132
Ceacam9	NM_053919
Ap2s1	NM_022952
Slc1a5	NM_175758
Fkrp	NM_001025678
Strn4	NM_001107480
Strn4	NM_001161809
Prkd2	NM_001013895
Dact3	NM_001191947
Gng8	NM_139185
Ptgir	NM_001077644
Calm3	NM_012518
Pnmal2	NM_001107481
Pnmal1	NM_001108473
Ccdc8	NM_001009533
Ppp5c	NM_031729
Hif3a	NM_022528
Cgm4	NM_012525
Psg16	NM_001025679
Ceacam3	NM_012702
Psgb1	NM_021677
Psg29	NM_001025641
Ceacam11	NM_001025404
Igfl3	NM_001108474
Mill1	NM_001011931
Psg19	NM_001270654
Psg19	NM_019126
Micb	NM_001017468
Pglyrp1	NM_053373
Ccdc61	NM_001106229
Nanos2	NM_001108908
Mypop	NM_001109139
Irf2bp1	NM_001107483
Foxa3	NM_017077
Sympk	NM_001100830
Rsph6a	NM_001024748
Fbxo46	NM_001025642
Qpctl	NM_001106230
Snrpd2	NM_001109399
Gipr	NM_012714
Eml2	NM_138921
	NR_031777
Gpr4	NM_001025680
Opa3	NM_001107486
Vasp	NM_001108475
Ppm1n	NM_001106231
Rtn2	NM_201562
Fosb	NM_001256509
Ercc1	NM_001106228
Cd3eap	NM_001109416
Ercc2	NM_001172809
	NR_031787
Klc3	NM_138520
Ckm	NM_012530
Mark4	NM_001191071
Trappc6a	NM_001109410
Ppp1r37	NM_001107482
Gemin7	NM_001109170
Clasrp	NM_001024294
Clptm1	NM_001106232
Apoc2	NM_001085352
Apoc4	NM_001109419
Apoc1	NM_001109996
Apoc1	NM_012824
Apoe	NM_001270681
Apoe	NM_001270682
Apoe	NM_001270683
Apoe	NM_001270684
Apoe	NM_138828
Tomm40	NM_212520
Pvrl2	NM_001012064
Bcam	NM_031752
Cblc	NM_001034920
Bcl3	NM_001109422
Ceacam16	NM_001169579
Ceacam19	NM_001198970
PVR	NM_017076
Ceacam20	NM_001170324
Zfp180	NM_144757
Zfp180	NM_001271280
Zfp112	NM_001107487
Zfp111	NM_133323
Zfp61	NM_001017512
Zfp94	NM_001037212
Tescl	NM_001106233
Lypd5	NM_001192010
Kcnn4	NM_001270701
Kcnn4	NM_001270703
Kcnn4	NM_023021
Kcnn4	NM_001270702
Smg9	NM_001014243
Irgc	NM_001014016
Plaur	NM_017350
Plaur	NM_134352
Cadm4	NM_001047107
Zfp428	NM_001108476
Irgq	NM_001135742
Pinlyp	NM_001107488
Xrcc1	NM_053435
Zfp575	NM_001107489
Ethe1	NM_001106234
Phldb3	NM_001191622
Lypd3	NM_021759
Tex101	NM_139037
RGD1564380	NM_001170329_1
RGD1565655	NM_001177686
Ceacam10	NM_173339
	NR_045097_1
Lypd4	NM_001110295
Rps19	NM_001037346_1
Arhgef1	NM_021694
Rabac1	NM_031774
Atp1a3	NM_012506
Grik5	NM_031508
Zfp574	NM_001024258
Pou2f2	NM_001271204
Gsk3a	NM_017344
Erf	NM_001170335
Pafah1b3	NM_053654
Prr19	NM_001173428
Megf8	NM_053628
Cnfn	NM_001108909
Lipe	NM_012859
Cxcl17	NM_001107491
Ceacam1	NM_001033862
Ceacam1	NM_001033861
Ceacam1	NM_031755
Ceacam1	NM_001033860
Erich4	NM_001109453
Atp5sl	NM_001009705
B3gnt8	NM_001107492
Bckdha	NM_012782
Exosc5	NM_001107493
B9d2	NM_001107494
Tgfb1	NM_021578
Ccdc97	NM_001106235
Hnrnpul1	NM_001108477
Axl	NM_031794
Axl	NM_001013147
Cyp2s1	NM_001107495
RGD1564380	NM_001170329
RGD1565655	NM_001177686_1
Cd177	NM_001191948
Ceacam10	NM_173339_1
	NR_045097
Cyp2b2	NM_001198676
Cyp2b3	NM_173294
Cyp2b21	NM_198733
Cyp2b12	NM_017156
Cyp2g1	NM_012787
Cyp2a3	NM_012542
Cyp2a1	NM_012692
Cyp2a2	NM_012693
Cyp2f4	NM_019303
Cyp2t1	NM_134369
Egln2	NM_001004083
Rab4b	NM_017355
Mia	NM_030852
Snrpa	NM_001008303
Itpkc	NM_178094
Adck4	NM_001012065
Numbl	NM_001033888
Ltbp4	NM_001170336
Shkbp1	NM_001271080
Sptbn4	NM_001100845
Blvrb	NM_001106236
Sertad3	NM_001017513
Sertad1	NM_001007735
Prx	NM_023976
Hipk4	NM_001024776
Pld3	NM_001012167
RGD1307554	NM_001109664
Akt2	NM_017093
Ttc9b	NM_001108478
Map3k10	NM_001191621
Marcksl1	NM_030862_1
Psmc4	NM_057122
Fcgbp	NM_001164657
Fcgbpl1	NM_001164656
Fbl	NM_001025643
Dyrk1b	NM_001107496
Pak4	NM_001106238
Nccrp1	NM_001134506
Sycn	NM_139086
Lrfn1	NM_001127694
Lrfn1	NM_001108910
Gmfg	NM_181091
Samd4b	NM_001107498
Paf1	NM_001024898
Med29	NM_001106237
Zfp36	NM_133290
Plekhg2	NM_001134972
Rps16	NM_001169146
Supt5h	NM_001107497
Dll3	NM_053666
Selv	NM_001166396
Vom2r10	NM_001099469
Vom1r2	NM_001008903
Vom1r3	NM_001009517
Vom1r4	NM_001009516
Vom2r11	NM_001099470
Vom1r5	NM_001009526
Fbxo27	NM_001110491
Fbxo17	NM_001013064
Mrps12	NM_001106239
Sars2	NM_001106240
Nfkbib	NM_030867
Sirt2	NM_001008368
Rinl	NM_001106241
Hnrnpl	NM_032619
Hnrnpl	NM_001134760
Ech1	NM_022594
Lgals4	NM_012975
Lgals7	NM_022582
Capn12	NM_001110808
Actn4	NM_031675
Kcnk6	NM_053806_1
Yif1b	NM_198734
Yif1b	NM_001014810_1
Spint2	NM_199087
Spint2	NM_001082549
Ppp1r14a	NM_130403
Dpf1	NM_001105729
Sipa1l3	NM_001013066
Zfp84	NM_001107500
Zfp74	NM_001271339
Eif3k	NM_001106242
Map4k1	NM_001106243
Rasgrp4	NM_130824
Fam98c	NM_001198584
	NR_037147
Spred3	NM_001173344
Ggn	NM_001309827
Ggn	NM_001013065
Psmd8	NM_001100831
Catsperg1	NM_001170340
Kcnk6	NM_053806
Yif1b	NM_198734_1
Yif1b	NM_001014810
Zfp382	NM_144749
Zfp74	NM_001271339_1
Zfp14	NM_001100991
Zfp566	NM_001134726
Zfp260	NM_017364
Zfp260	NM_017364_1
Capns1	NM_017118
Tbcb	NM_001040180
Polr2i	NM_001106244
Ovol3	NM_001289820_1
Wdr62	NM_001191623
Clip3	NM_001107501
Alkbh6	NM_001127450_1
Syne4	NM_001009283
RGD1562079	NM_001177687
Lrfn3	NM_001107502
Tyrobp	NM_212525
Hcst	NM_001005900
Aplp1	NM_001100802
Kirrel2	NM_001271398
Nphs1	NM_022628
Prodh2	NM_001038588
Proser3	NM_001127579
Hspb6	NM_138887
Lin37	NM_001106245
Psenen	NM_001008764
U2af1l4	NM_001008775
Igflr1	NM_001134610
	NR_037357
Zbtb32	NM_001109517
Upk1a	NM_001108911
LOC688869	NM_001145273
Rbm42	NM_001014159
LOC688924	NM_001109519
Atp4a	NM_012509
Tmem147	NM_001038494
Gapdhs	NM_023964
Sbsn	NM_001198591
Sbsn	NM_001044231
Sbsn	NM_001198590
Dmkn	NM_001173357
Ffar2	NM_001005877
Ffar3	NM_001108912
Ffar1	NM_153304
Cd22	NM_001107503
Mag	NM_017190
Hamp	NM_053469
Usf2	NM_031139
Lsr	NM_032616
Fxyd5	NM_001270688
Fxyd5	NM_001270689
Fxyd5	NM_021909
Fxyd7	NM_022008
Fxyd1	NM_031648
Lgi4	NM_199499
Fxyd3	NM_172317
Hpn	NM_017112
Scn1b	NM_001271046
Scn1b	NM_017288
Scn1b	NM_001271045
Gramd1a	NM_001014160
LOC689199	NM_001170457
LOC292801	NM_001170400
Scgb1b30	NM_001100859
Pdcd2l	NM_001109544
Gpi	NM_207592
RGD1308428	NM_001271233
Lsm14a	NM_001127552
Kctd15	NM_001109141
Chst8	NM_001107504
Pepd	NM_001009641
RGD1562079	NM_001177687_1
Syne4	NM_001009283_1
Alkbh6	NM_001127450
Clip3	NM_001107501_1
Ovol3	NM_001289820
Polr2i	NM_001106244_1
Tbcb	NM_001040180_1
Pdcd5	NM_001106247
Cebpg	NM_012831
Cebpa	NM_001287578
Cebpa	NM_001287579
Cebpa	NM_001287577
Cebpa	NM_012524
Slc7a10	NM_053726
Lrp3	NM_053541
Gpatch1	NM_001106246
Rhpn2	NM_001107505
Faap24	NM_001109335
Cep89	NM_001127599
Slc7a9	NM_053929
Nudt19	NM_001004258
Rgs9bp	NM_001109142
Ankrd27	NM_001271264
Pdcd5	NM_001106247_1
Dpy19l3	NM_001135835
Zfp507	NM_001106248
Tshz3	NM_001107506
Uri1	NM_001107507
Ccne1	NM_001100821
Plekhf1	NM_001013148
Pop4	NM_001009642
LOC365238	NM_001108913
Vstm2b	NM_001108479
MGC114499	NM_001024907
LOC499136	NM_001047937
Etfb	NM_001004220
Cldnd2	NM_001109143
Nkg7	NM_133540
Lim2	NM_053771
Siglec10	NM_001106250
Siglec5	NM_001106249
Vom2r38	NM_001099476
Vom2r37	NM_001099487
Klk1c12	NM_001005382
Klk1c10	NM_001135173
Klk1c8	NM_001013067
Zfp819	NM_001014017
Ctu1	NM_001106251
Klk13	NM_001170405
Klk12	NM_001107508
Klk11	NM_001106252
Klk10	NM_001004100
Klk9	NM_001106253
Klk8	NM_001107509
Klk7	NM_001106254
Klk6	NM_019175
Klk4	NM_001004101
Klk1c10	NM_001135173_1
Klk1c6	NM_001003977
Klk1c2	NM_012677
Klk1c8	NM_001013067_1
Klk1c9	NM_175759
Klk1c7	NM_012593
Klk1c3	NM_001271315
Klk1	NM_031523
Fv1	NM_001014018
Acpt	NM_001107510
Clec11a	NM_001012459
Shank1	NM_031751
RGD1309036	NM_001106255
Syt3	NM_019122
Lrrc4b	NM_001271081
Aspdh	NM_001009643
Josd2	NM_001106256
Emc10	NM_001004221
Mybpc2	NM_001106257
Spib	NM_001024286
Pold1	NM_021662
Nr1h2	NM_031626
Napsa	NM_031670
Kcnc3	NM_053997
Myh14	NM_001100690
Vrk3	NM_001005561
Atf5	NM_172336
Nup62	NM_023098
Tbc1d17	NM_001106258
Akt1s1	NM_001106259
Pnkp	NM_001004259
Ptov1	NM_001008304
Med25	NM_001170426
Fuz	NM_001037646
Ap2a1	NM_001107511
Tsks	NM_199088
Cpt1c	NM_001034925
Prmt1	NM_024363
Bcl2l12	NM_001108480
Irf3	NM_001006969
Scaf1	NM_019384
Rras	NM_001108481
Prrg2	NM_001108482
Nosip	NM_001106260
Rcn3	NM_001008694
Fcgrt	NM_033351
	NR_031893
Rps11	NM_031110
Rpl13a	NM_173340
Flt3lg	NM_001305939
Aldh16a1	NM_001033706
Pih1d1	NM_001024868
Slc17a7	NM_053859
Pth2	NM_001109144
Dkkl1	NM_001109145
Tead2	NM_001107512
Cd37	NM_017124
RGD1562492	NM_001109146
Trpm4	NM_001136229
Hrc	NM_181369
Ppfia3	NM_001270985
Lin7b	NM_021758
Snrnp70	NM_001108483
Kcna7	NM_001108914
Ntf4	NM_013184
Lhb	NM_012858
Lhb	NM_001033975
Ruvbl2	NM_001025405
Gys1	NM_001109615
Ftl1	NM_022500
Bax	NM_017059
Tulp2	NM_001012168
Nucb1	NM_053463
Ppp1r15a	NM_133546
Plekha4	NM_199101
Hsd17b14	NM_001191111
Bcat2	NM_022400
Fgf21	NM_130752
Fut1	NM_031236
Izumo1	NM_001017514
Rasip1	NM_001106261
Fut2	NM_031635
Sec1	NM_001135584
Ntn5	NM_001173526
Car11	NM_175708
Dbp	NM_012543
Dbp	NM_001289983
Dbp	NM_001289982
Sphk2	NM_001012066
Rpl18	NM_031102
Spaca4	NM_001109623
Sult2b1	NM_001039665
Cyth2	NM_053911
Kcnj14	NM_170718
Grwd1	NM_001012067
Grin2d	NM_022797
Kdelr1	NM_001017385
Syngr4	NM_001025644
Tmem143	NM_001107513
Emp3	NM_030847
Ccdc114	NM_001126277
Abcc6	NM_031013
Nomo1	NM_001108484
Kcnj11	NM_031358
Abcc8	NM_013039
Ush1c	NM_212521
Otog	NM_001106262
Myod1	NM_176079
Kcnc1	NM_012856
Tph1	NM_001100634
Saa4	NM_001009478
Hps5	NM_001135612
Gtf2h1	NM_001108485
Ldha	NM_017025
Ldhc	NM_017266
Tsg101	NM_181628
Vom1r70	NM_001009519
Tmem86a	NM_001135016
Ptpn5	NM_019253
Mrgprx3	NM_145787
Mrgprc	NM_001002286
Mrgprx1	NM_172158
Mrgprb4	NM_001002287
Mrgprb5	NM_001002284
Mrgprb13	NM_001002283
Mrgprb13	NM_001002283_1
Mrgprb13	NM_001002283_2
Mrgprx2	NM_001002280
Mrgprx2l	NM_001002285
Zdhhc13	NM_001039037
Csrp3	NM_057144
Nav2	NM_138529
Dbx1	NM_001009644
Htatip2	NM_001106263
Prmt3	NM_053557
Slc6a5	NM_203334
Nell1	NM_031069
LOC100125384	NM_001103363
LOC100125384	NM_001103363_1
Slc17a6	NM_053427
Gas2	NM_001127504
Svip	NM_001271084
Ccdc179	NM_001195599
Gabrg3	NM_024370
Gabra5	NM_017295
Gabrb3	NM_017065
Tubgcp5	NM_001107516
Cyfip1	NM_001107517
Nipa2	NM_001107518
Nipa1	NM_001107519
Herc2	NM_001107520
LOC100365773	NM_001271493
Atp10a	NM_001141935
Bex1	NM_001037365
Ube3a	NM_001191837
	NR_037392
	NR_037352
	NR_031788
	NR_037352_1
	NR_031788_1
	NR_106685
	NR_106682_1
	NR_106682
Ndn	NM_001008558
Peg12	NM_001170562
Chrna7	NM_012832
Hmgn5	NM_001276434_1
Hmgn5b	NM_001134706
Klf13	NM_001109147
Trpm1	NM_001037734
Trpm1	NM_001037733
	NR_031924
Mtmr10	NM_001100846
Fan1	NM_001191633
Mphosph10	NM_001106340
Mcee	NM_001106341
Apba2	NM_031780
Ndnl2	NM_001173527
Tjp1	NM_001106266
Tarsl2	NM_001014020
Tm2d3	NM_001106267
Pcsk6	NM_012999
Snrpa1	NM_001271323
Vimp	NM_173120
Chsy1	NM_001106268
Lrrk1	NM_001191624
Aldh1a3	NM_153300
Asb7	NM_001108915
Cers3	NM_001127561
Mef2a	NM_001014035
Lrrc28	NM_001108486
Ttc23	NM_001025681
Synm	NM_001134858
Igf1r	NM_052807
	NR_028365
Arrdc4	NM_001047853
Nr2f2	NM_080778
Mctp2	NM_001191625
Rgma	NM_001107524
Chd2	NM_001107523
St8sia2	NM_057156
Slco3a1	NM_177481
Sv2b	NM_057207
Akap13	NM_001106271
Klhl25	NM_001039006
Ntrk3	NM_019248
Ntrk3	NM_001270656
Ntrk3	NM_001270655
Mrpl46	NM_001013068
Mrps11	NM_001109148
Det1	NM_001037194
	NR_031809
Aen	NM_001108487
Isg20	NM_001008510
Acan	NM_022190
Hapln3	NM_001008559
Mfge8	NM_001040186
Mfge8	NM_012811
Abhd2	NM_001106275
Rlbp1	NM_001106274
Polg	NM_053528
	NR_037346
	NR_031812
Rhcg	NM_183053
Plin1	NM_001308145
Pex11a	NM_053487
Wdr93	NM_001191949
Mesp1	NM_001107531
Mesp2	NM_001106273
Anpep	NM_031012
Ap3s2	NM_001115039
Arpin	NM_001107530
Echs1	NM_078623_1
Zfp710	NM_001134563
Idh2	NM_001014161
